energy,configuration,term,J,gJ,linewidth
0 c·h/cm,4f14.6s2,1S0,0,0.0,
1.73×10⁴ c·h/cm,4f14.6s.6p,3P0*,0,0.0,
1.8×10⁴ c·h/cm,4f14.6s.6p,3P1*,1,1.49282,
1.97×10⁴ c·h/cm,4f14.6s.6p,3P2*,2,1.5,
2.32×10⁴ c·h/cm,4f13.(2F*<7/2>).5d<3/2>.6s2,"(7/2,3/2)2*",2,1.45,
2.45×10⁴ c·h/cm,4f14.5d.6s,3D1,1,0.5,
2.48×10⁴ c·h/cm,4f14.5d.6s,3D2,2,1.16,
2.51×10⁴ c·h/cm,4f14.6s.6p,1P1*,1,1.035,
2.53×10⁴ c·h/cm,4f14.5d.6s,3D3,3,1.34,
2.59×10⁴ c·h/cm,4f13.(2F*<7/2>).5d<3/2>.6s2,"(7/2,3/2)5*",5,1.04,
2.73×10⁴ c·h/cm,4f13.(2F*<7/2>).5d<5/2>.6s2,"(7/2,5/2)6*",6,1.16,
2.74×10⁴ c·h/cm,4f13.(2F*<7/2>).5d<3/2>.6s2,"(7/2,3/2)3*",3,1.22,
2.77×10⁴ c·h/cm,4f14.5d.6s,1D2,2,1.01,
2.82×10⁴ c·h/cm,4f13.(2F*<7/2>).5d<3/2>.6s2,"(7/2,3/2)4*",4,1.14,
2.82×10⁴ c·h/cm,4f13.(2F*<7/2>).5d<5/2>.6s2,"(7/2,5/2)2*",2,1.02,
2.89×10⁴ c·h/cm,4f13.(2F*<7/2>).5d<5/2>.6s2,"(7/2,5/2)1*",1,1.2635,
2.98×10⁴ c·h/cm,4f13.(2F*<7/2>).5d<5/2>.6s2,"(7/2,5/2)4*",4,1.09,
3.02×10⁴ c·h/cm,4f13.(2F*<7/2>).5d<5/2>.6s2,"(7/2,5/2)3*",3,1.08,
3.05×10⁴ c·h/cm,4f13.(2F*<7/2>).5d<5/2>.6s2,"(7/2,5/2)5*",5,1.18,
3.21×10⁴ c·h/cm,4f13.(2F*<7/2>).6s2.6p<1/2>,"(7/2,1/2)3",3,1.23,
3.23×10⁴ c·h/cm,4f13.(2F*<7/2>).6s2.6p<1/2>,"(7/2,1/2)4",4,0.0,
3.27×10⁴ c·h/cm,4f14.6s.7s,3S1,1,2.01,
3.44×10⁴ c·h/cm,4f14.6s.7s,1S0,0,0.0,
3.52×10⁴ c·h/cm,4f13.(2F*<7/2>).6s2.6p<3/2>,"(7/2,3/2)5",5,0.0,
3.52×10⁴ c·h/cm,4f13.(2F*<7/2>).6s2.6p<3/2>,"(7/2,3/2)2",2,1.05,
3.58×10⁴ c·h/cm,4f13.(2F*<7/2>).6s2.6p<3/2>,"(7/2,3/2)3",3,1.08,
3.61×10⁴ c·h/cm,4f13.(2F*<7/2>).6s2.6p<3/2>,"(7/2,3/2)4",4,0.0,
3.74×10⁴ c·h/cm,4f13.(2F*).5d2.6s?,Ionization Limit,1,1.02,
3.81×10⁴ c·h/cm,4f14.6s.7p,3P0*,0,0.0,
3.82×10⁴ c·h/cm,4f14.6s.7p,3P1*,1,1.14,
3.84×10⁴ c·h/cm,4f13.(2F*).5d2.6s?,Ionization Limit,1,1.07,
3.86×10⁴ c·h/cm,4f14.6s.7p,3P2*,2,1.5,
