i,i_config,i_term,f,f_config,f_term,Ei,Ef,Gamma
0,4f14.6s2,1S0,1,4f14.6s.6p,3P0*,0 c·h/cm,17288.439 c·h/cm,0 Mrad/s
0,4f14.6s2,1S0,2,4f14.6s.6p,3P1*,0 c·h/cm,17992.007 c·h/cm,1.15 Mrad/s
0,4f14.6s2,1S0,7,4f14.6s.6p,1P1*,0 c·h/cm,25068.222 c·h/cm,192 Mrad/s
0,4f14.6s2,1S0,15,4f13.(2F*<7/2>).5d<5/2>.6s2,"(7/2,5/2)1*",0 c·h/cm,28857.014 c·h/cm,68.3 Mrad/s
0,4f14.6s2,1S0,27,4f13.(2F*).5d2.6s?,Ionization Limit,0 c·h/cm,37414.59 c·h/cm,14.3 Mrad/s
0,4f14.6s2,1S0,37,4f14.6s.7p,1P1*,0 c·h/cm,40563.97 c·h/cm,100 Mrad/s
1,4f14.6s.6p,3P0*,5,4f14.5d.6s,3D1,17288.439 c·h/cm,24489.102 c·h/cm,0 Mrad/s
1,4f14.6s.6p,3P0*,7,4f14.6s.6p,1P1*,17288.439 c·h/cm,25068.222 c·h/cm,0 Mrad/s
1,4f14.6s.6p,3P0*,15,4f13.(2F*<7/2>).5d<5/2>.6s2,"(7/2,5/2)1*",17288.439 c·h/cm,28857.014 c·h/cm,0 Mrad/s
1,4f14.6s.6p,3P0*,21,4f14.6s.7s,3S1,17288.439 c·h/cm,32694.692 c·h/cm,0 Mrad/s
1,4f14.6s.6p,3P0*,22,4f14.6s.7s,1S0,17288.439 c·h/cm,34350.65 c·h/cm,0 Mrad/s
1,4f14.6s.6p,3P0*,27,4f13.(2F*).5d2.6s?,Ionization Limit,17288.439 c·h/cm,37414.59 c·h/cm,0 Mrad/s
1,4f14.6s.6p,3P0*,28,4f14.6s.7p,3P0*,17288.439 c·h/cm,38090.71 c·h/cm,0 Mrad/s
1,4f14.6s.6p,3P0*,29,4f14.6s.7p,3P1*,17288.439 c·h/cm,38174.17 c·h/cm,0 Mrad/s
1,4f14.6s.6p,3P0*,30,4f13.(2F*).5d2.6s?,Ionization Limit,17288.439 c·h/cm,38422.36 c·h/cm,0 Mrad/s
1,4f14.6s.6p,3P0*,32,4f14.6s.6d,3D1,17288.439 c·h/cm,39808.72 c·h/cm,0 Mrad/s
1,4f14.6s.6p,3P0*,37,4f14.6s.7p,1P1*,17288.439 c·h/cm,40563.97 c·h/cm,0 Mrad/s
1,4f14.6s.6p,3P0*,38,4f14.6s.8s,3S1,17288.439 c·h/cm,41615.04 c·h/cm,0 Mrad/s
1,4f14.6s.6p,3P0*,40,4f14.6s.8s,1S0,17288.439 c·h/cm,41939.9 c·h/cm,0 Mrad/s
1,4f14.6s.6p,3P0*,41,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<5/2>),"(7/2,5/2)1",17288.439 c·h/cm,42436.7 c·h/cm,0 Mrad/s
1,4f14.6s.6p,3P0*,42,4f14.6p2,3P0,17288.439 c·h/cm,42436.91 c·h/cm,0 Mrad/s
1,4f14.6s.6p,3P0*,51,,Ionization Limit,17288.439 c·h/cm,43532.77 c·h/cm,0 Mrad/s
1,4f14.6s.6p,3P0*,52,4f14.6s.8p,3P0*,17288.439 c·h/cm,43614.27 c·h/cm,0 Mrad/s
1,4f14.6s.6p,3P0*,53,4f14.6s.8p,3P1*,17288.439 c·h/cm,43659.38 c·h/cm,0 Mrad/s
1,4f14.6s.6p,3P0*,54,4f14.6p2,3P1,17288.439 c·h/cm,43805.42 c·h/cm,0 Mrad/s
1,4f14.6s.6p,3P0*,58,4f14.6s.8p,1P1*,17288.439 c·h/cm,44017.6 c·h/cm,0 Mrad/s
1,4f14.6s.6p,3P0*,61,4f14.6s.7d,3D1,17288.439 c·h/cm,44311.38 c·h/cm,0 Mrad/s
1,4f14.6s.6p,3P0*,69,4f13.(2F*<5/2>).6s2.6p<3/2>,"(5/2,3/2)1",17288.439 c·h/cm,44834.61 c·h/cm,0 Mrad/s
1,4f14.6s.6p,3P0*,71,4f14.6s.9s,3S1,17288.439 c·h/cm,45121.37 c·h/cm,0 Mrad/s
1,4f14.6s.6p,3P0*,73,,Ionization Limit,17288.439 c·h/cm,45181.69 c·h/cm,0 Mrad/s
1,4f14.6s.6p,3P0*,78,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<7/2>),"(7/2,7/2)1",17288.439 c·h/cm,45595.14 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,4,4f13.(2F*<7/2>).5d<3/2>.6s2,"(7/2,3/2)2*",17992.007 c·h/cm,23188.518 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,5,4f14.5d.6s,3D1,17992.007 c·h/cm,24489.102 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,6,4f14.5d.6s,3D2,17992.007 c·h/cm,24751.948 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,7,4f14.6s.6p,1P1*,17992.007 c·h/cm,25068.222 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,12,4f14.5d.6s,1D2,17992.007 c·h/cm,27677.665 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,14,4f13.(2F*<7/2>).5d<5/2>.6s2,"(7/2,5/2)2*",17992.007 c·h/cm,28195.96 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,15,4f13.(2F*<7/2>).5d<5/2>.6s2,"(7/2,5/2)1*",17992.007 c·h/cm,28857.014 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,21,4f14.6s.7s,3S1,17992.007 c·h/cm,32694.692 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,22,4f14.6s.7s,1S0,17992.007 c·h/cm,34350.65 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,24,4f13.(2F*<7/2>).6s2.6p<3/2>,"(7/2,3/2)2",17992.007 c·h/cm,35196.98 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,27,4f13.(2F*).5d2.6s?,Ionization Limit,17992.007 c·h/cm,37414.59 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,28,4f14.6s.7p,3P0*,17992.007 c·h/cm,38090.71 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,29,4f14.6s.7p,3P1*,17992.007 c·h/cm,38174.17 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,30,4f13.(2F*).5d2.6s?,Ionization Limit,17992.007 c·h/cm,38422.36 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,31,4f14.6s.7p,3P2*,17992.007 c·h/cm,38551.93 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,32,4f14.6s.6d,3D1,17992.007 c·h/cm,39808.72 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,33,4f14.6s.6d,3D2,17992.007 c·h/cm,39838.04 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,34,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<3/2>),"(7/2,3/2)2",17992.007 c·h/cm,39880.26 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,36,4f14.6s.6d,1D2,17992.007 c·h/cm,40061.51 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,37,4f14.6s.7p,1P1*,17992.007 c·h/cm,40563.97 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,38,4f14.6s.8s,3S1,17992.007 c·h/cm,41615.04 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,40,4f14.6s.8s,1S0,17992.007 c·h/cm,41939.9 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,41,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<5/2>),"(7/2,5/2)1",17992.007 c·h/cm,42436.7 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,42,4f14.6p2,3P0,17992.007 c·h/cm,42436.91 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,43,4f13.(2F*<5/2>).6s2.6p<1/2>,"(5/2,1/2)2",17992.007 c·h/cm,42531.87 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,44,,Ionization Limit,17992.007 c·h/cm,42647.72 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,45,,Ionization Limit,17992.007 c·h/cm,42725.76 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,47,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<5/2>),Ionization Limit,17992.007 c·h/cm,43224.78 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,51,,Ionization Limit,17992.007 c·h/cm,43532.77 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,52,4f14.6s.8p,3P0*,17992.007 c·h/cm,43614.27 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,53,4f14.6s.8p,3P1*,17992.007 c·h/cm,43659.38 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,54,4f14.6p2,3P1,17992.007 c·h/cm,43805.42 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,55,4f14.6s.8p,3P2*,17992.007 c·h/cm,43805.69 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,58,4f14.6s.8p,1P1*,17992.007 c·h/cm,44017.6 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,60,,Ionization Limit,17992.007 c·h/cm,44251.88 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,61,4f14.6s.7d,3D1,17992.007 c·h/cm,44311.38 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,62,4f14.6s.7d,3D2,17992.007 c·h/cm,44313.05 c·h/cm,0 Mrad/s
2,4f14.6s.6p,3P1*,63,4f14.6s.7d,1D2,17992.007 c·h/cm,44357.6 c·h/cm,0 Mrad/s
