Nucleus,Ex,T1/2,I,μ(nm),Q(b),,[Ref. Std.],Method,NSR Keynumber,Journal Reference
1n,0,10.6 m,1/2+,-1.9130427(5) d,,,,"N,R",2000Mo36,RMP 72 351 (00)
1H,0,stable,1/2+,+2.79284734(3) d,,,,"M/N,R",2000Mo36,RMP 72 351 (00)
2H,0,stable,1+,+0.857438228(9) d,,,[1H],"N,R",2000Mo36,RMP 72 351 (00)
3H,0,12.33 y,1/2+,+2.97896244(4),,,[1H],"N,R",1977Ne16,ZETF 72 1659 (77)
3He,0,stable,1/2+,-2.12749772(3),,,[1H],"N,R",2000Mo36,RMP 72 351 (00)
6Li,0,stable,1+,+0.8220473(6),,,,AB/D,1974Be50,ZP 270 173 (74)
7Li,0,stable,3/2-,+3.256427(2),,,,AB/D,1974Be50,ZP 270 173 (74)
8Li,0,842 ms,2+,+1.65356(2),,,[1H],β-NMR,1978Wi13/1962Co08,PL A67 423 (78)/PR 126 1506 (62)
9Li,0,178 ms,3/2-,3.43678(6),,,[8Li],β-NMR,2005BO45,PR C72 044309 (05)
11Li,0,8.5 ms,3/2-,+3.6712(3),,,[9Li],β-NMR,2008NE11,PRL 101 132502 (08)
7Be,0,53.3 d,3/2-,-1.39928(2),,,,LMDR,2008OK01,PRL 101 212502 (08)
9Be,0,stable,3/2-,-1.177432(3) d,,,,R,1983It03,PR B27 1906 (83)
10Be,3368,0.14 ps,2+,,-0.08(7),,,CER,2012Or05,PR C86 041303(R) 2012
11Be,0,13. 8 s,3/2-,-1.6814(13),,,[8Li],β-NMR,98KaZN,NuoC 111 110 (98)
8B,0,0.77 s,2+,1.0355(3),,,,β-NMR,1973Mi01,JPJS 34 156 (73)
10B,0,stable,3+,+1.80064478(6),,,[2H],"N,MB",1939Mi05,ZNat 30a 955 (75)/PR 56 165 (39)
11B,0,stable,3/2-,+2.6886489(10),,,[10B],"N, MB",1975Ep02/1939Mi05,ZNat 30a 955 (75)/PR 56 165 (39)
12B,0,20.4 ms,1+,+1.00(2),,,,β-NMR,2010Zn03,Chin Phys Lett 27 022102 (10)
13B,0,17.4 ms,3/2-,"+3.1778(5) K,d",,,,β-NMR,2004Na38,NP A746 509c (04)
14B,0,13.8 ms,2-,1.185(5),,,[12B],β-NMR,1995Ok04,PL B354 41 (95)
15B,0,10.3 ms,3/2-,2.659(15),,,[12B],β-NMR,1995Ok04,PL B354 41 (95)
17B,0,5.1 ms,(3/2-),2.55(2),,,[12B],β-NMR,1996Ue02,PR C53 2142 (96)
9C,0,126 ms,3/2-,1.3914(5),,,,β-NMR,1995Ma48,NP A588 153c (95)
11C,0,20.4 m,3/2-,-0.964(1),,,[13C],"AB, R",1970Wo11,ZP 236 337 (70)
12C,4438,45 fs,2+,,+0.06(3),R,,CER,1983Ve01,PL B122 23 (83)
13C,0,stable,1/2-,+0.7024118(14),,,[1H],N,1954Ro34,PR 96 543 (54)
14C,6728,67 ps,3-,0.82(2),,,,RIV/D,1974Al07,PR C9 1748 (74)
15C,0,2.45 s,1/2+,1.720(9),,,,β-NMR,2002As06,NP A704 88c (02)
17C,0,193 ms,(3/2+),0.758(4),,,,β-NMR,2002Og02,EurPJ A13 81 (02)
12N,0,11.0 ms,1+,0.4571(1),,,,β-NMR,2010ZN03,Chin Phys Lett 27 022102 (10)
13N,0,9.96 m,1/2-,0.3222(4),,,[14N],"AB, R",1964Be24,PR 136 B27 (64)
14N,0,stable,1+,+0.40376100(6),,,[1H],N,1976Fu06/1951Pr02,JPCR 5 835 (76)/PR 81 20 (51)
15N,0,stable,1/2-,-0.28318884(5),,,[14N],N,1962Ba63,JCP 36 152 (62)
16N,0,7.13 s,2-,1.9859(11) d,,,[12N],β-NMR,2001Ma42,PRL 86 3735 (01)
17N,0,4.17 s,1/2-,0.3551(4),,,,β-NMR,2009DE34,PR C80 037306 (09)
18N,0,624 ms,1-,0.3273(4),,,,β-NMR,2009DE34,PR C80 037306 (09)
19N,0,0.27 s,1/2-,0.305(15),,,,β-NMR,2004Ka22,NP A734 481 (04)
13O,0,8..6 ms,3/2-,"1.3891(3) d, K",,,[1H],β-NMR,1996Ma38,HFI 97/98 519 (96)
15O,0,122 s,1/2-,0.71951(12) c,,,,β-NMR,1993Ta28,HFI 78 105 (93)
16O,6130,18.4 ps,3-,+1.668(12),,,,RIV/D,1984As03,JP G10 1079 (84)
